"","Orderid","Orderdatetime","Saleamount","Newcustomer","Position","Positiondatetime","Groupname","Networkname","Networkid","Brand","Positionname","DaysToConvert"
"71",11637854,"2012-05-01 14:11",275.44,"Y",0,"2012-04-30 13:47","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast Coupons > medifast coupons","g001158","Y","ORIGINATOR",1
"72",11637857,"2012-05-01 14:14",315,"Y",3,"2012-05-01 13:53","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"73",11637857,"2012-05-01 14:14",315,"Y",2,"2012-04-30 19:16","CJ","Commission Junction","cj22","N","ASSIST",1
"74",11637857,"2012-05-01 14:14",315,"Y",1,"2012-04-30 18:45","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast Coupons > medifast coupon code","g001153","Y","ROSTER",1
"75",11637857,"2012-05-01 14:14",315,"Y",0,"2012-04-30 18:40","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast URL Options > medifast.com","g001200","Y","ORIGINATOR",1
"76",11637875,"2012-05-01 14:18",178.47,"Y",1,"2012-05-01 14:14","CJ","Commission Junction","cj22","N","CONVERTER",0
"77",11637875,"2012-05-01 14:18",178.47,"Y",0,"2012-05-01 14:06","SEARCH MSN BRAND","Medifast Brand Terms >  Medifast URL Options >  medfast.com","brand8154msn","Y","ORIGINATOR",0
"84",11637887,"2012-05-01 14:27",264,"N",8,"2012-04-29 17:27","CPM","Accordant","n6899541","N","CONVERTER",2
"85",11637887,"2012-05-01 14:27",264,"N",7,"2012-04-29 17:27","CPM","Accordant","n6899541","N","ASSIST",2
"86",11637887,"2012-05-01 14:27",264,"N",6,"2012-04-29 17:27","CPM","Accordant","n6899541","N","ROSTER",2
"87",11637887,"2012-05-01 14:27",264,"N",5,"2012-04-29 12:36","CPM","Acerno","acerno","N","ROSTER",2
"88",11637887,"2012-05-01 14:27",264,"N",4,"2012-04-29 1:34","CPM","Accordant","n6899541","N","ROSTER",2
"89",11637887,"2012-05-01 14:27",264,"N",3,"2012-04-29 1:17","CPM","Accordant","n6899541","N","ROSTER",2
"90",11637887,"2012-05-01 14:27",264,"N",2,"2012-04-29 0:52","CPM","AOL - February 2011","N9457P1A","N","ROSTER",2
"91",11637887,"2012-05-01 14:27",264,"N",1,"2012-04-28 21:36","CPM","Accordant","n6899541","N","ROSTER",3
"92",11637887,"2012-05-01 14:27",264,"N",0,"2012-04-28 21:10","CPM","Armonix","nar7467","N","ORIGINATOR",3
"93",11637897,"2012-05-01 14:33",341.5,"Y",2,"2012-05-01 13:15","CPM","Mediawhiz","n62974792","N","CONVERTER",0
"94",11637897,"2012-05-01 14:33",341.5,"Y",1,"2012-05-01 13:15","CPM","Mediawhiz","n62974792","N","ASSIST",0
"95",11637897,"2012-05-01 14:33",341.5,"Y",0,"2012-05-01 6:28","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",0
"96",11637911,"2012-05-01 14:34",162.5,"Y",6,"2012-05-01 14:28","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"97",11637911,"2012-05-01 14:34",162.5,"Y",5,"2012-05-01 14:27","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ASSIST",0
"98",11637911,"2012-05-01 14:34",162.5,"Y",4,"2012-05-01 14:27","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast Coupons > medifast coupons","g001158","Y","ROSTER",0
"99",11637911,"2012-05-01 14:34",162.5,"Y",3,"2012-05-01 14:25","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",0
"100",11637911,"2012-05-01 14:34",162.5,"Y",2,"2012-05-01 13:38","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",0
"101",11637911,"2012-05-01 14:34",162.5,"Y",1,"2012-05-01 7:34","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",0
"102",11637911,"2012-05-01 14:34",162.5,"Y",0,"2012-05-01 7:08","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",0
"103",11637970,"2012-05-01 15:00",265.99,"Y",2,"2012-04-30 19:39","CPM","Armonix","nar7467","N","CONVERTER",1
"104",11637970,"2012-05-01 15:00",265.99,"Y",1,"2012-04-29 20:50","CPM","Mediawhiz","n62974792","N","ASSIST",2
"105",11637970,"2012-05-01 15:00",265.99,"Y",0,"2012-04-27 3:37","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",4
"114",11638027,"2012-05-01 15:20",116.76,"N",4,"2012-04-18 17:44","CPM","Acerno","acerno","N","CONVERTER",13
"115",11638027,"2012-05-01 15:20",116.76,"N",3,"2012-04-17 17:34","CPM","Mediawhiz","n62974792","N","ASSIST",14
"116",11638027,"2012-05-01 15:20",116.76,"N",2,"2012-04-14 20:13","CPM","Mediawhiz","n62974792","N","ROSTER",17
"117",11638027,"2012-05-01 15:20",116.76,"N",1,"2012-04-14 20:09","CPM","Mediawhiz","n62974792","N","ROSTER",17
"118",11638027,"2012-05-01 15:20",116.76,"N",0,"2012-04-11 16:50","SEARCH MSN BRAND","Medifast Brand Terms >  Medifast >  medifast diet","brand8124msn","Y","ORIGINATOR",20
"124",11638133,"2012-05-01 15:58",330,"Y",8,"2012-04-30 11:33","CPM","Acerno","acerno","N","CONVERTER",1
"125",11638133,"2012-05-01 15:58",330,"Y",7,"2012-04-30 11:33","CPM","Mediawhiz","n62974792","N","ASSIST",1
"126",11638133,"2012-05-01 15:58",330,"Y",6,"2012-04-30 11:33","CPM","Mediawhiz","n62974792","N","ROSTER",1
"127",11638133,"2012-05-01 15:58",330,"Y",5,"2012-04-27 11:37","CPM","24/7 Real Media [old]","247","N","ROSTER",4
"128",11638133,"2012-05-01 15:58",330,"Y",4,"2012-04-27 11:37","CPM","Armonix","nar7467","N","ROSTER",4
"129",11638133,"2012-05-01 15:58",330,"Y",3,"2012-04-27 11:37","CPM","Adroll - adr","adr","N","ROSTER",4
"130",11638133,"2012-05-01 15:58",330,"Y",2,"2012-04-27 11:35","CPM","Mediawhiz","n62974792","N","ROSTER",4
"131",11638133,"2012-05-01 15:58",330,"Y",1,"2012-04-26 20:49","CPM","Magnetic","h987mag","N","ROSTER",5
"132",11638133,"2012-05-01 15:58",330,"Y",0,"2012-04-26 12:55","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",5
"133",11638145,"2012-05-01 16:06",341.46,"N",1,"2012-05-01 15:49","CJ","Commission Junction","cj22","N","CONVERTER",0
"134",11638145,"2012-05-01 16:06",341.46,"N",0,"2012-04-30 21:04","CPM","AOL - February 2011","N9457P1A","N","ORIGINATOR",1
"135",11638163,"2012-05-01 16:07",176.96,"N",1,"2012-04-27 15:28","CJ","Commission Junction","cj22","N","CONVERTER",4
"136",11638163,"2012-05-01 16:07",176.96,"N",0,"2012-04-27 15:25","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ORIGINATOR",4
"137",11638175,"2012-05-01 16:11",160.46,"N",4,"2012-04-19 17:31","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",12
"138",11638175,"2012-05-01 16:11",160.46,"N",3,"2012-04-19 17:31","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ASSIST",12
"139",11638175,"2012-05-01 16:11",160.46,"N",2,"2012-04-19 17:04","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ROSTER",12
"140",11638175,"2012-05-01 16:11",160.46,"N",1,"2012-04-18 13:43","CPM","Armonix","nar7467","N","ROSTER",13
"141",11638175,"2012-05-01 16:11",160.46,"N",0,"2012-04-17 23:30","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",14
"146",11638266,"2012-05-01 16:49",276.88,"Y",3,"2012-05-01 12:07","CPM","Adroll - adr","adr","N","CONVERTER",0
"147",11638266,"2012-05-01 16:49",276.88,"Y",2,"2012-04-30 23:04","CPM","Adroll - adr","adr","N","ASSIST",1
"148",11638266,"2012-05-01 16:49",276.88,"Y",1,"2012-04-30 22:06","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",1
"149",11638266,"2012-05-01 16:49",276.88,"Y",0,"2012-04-30 22:01","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",1
"150",11638267,"2012-05-01 16:44",330,"N",6,"2012-05-01 16:22","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"151",11638267,"2012-05-01 16:44",330,"N",5,"2012-05-01 16:22","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ASSIST",0
"152",11638267,"2012-05-01 16:44",330,"N",4,"2012-05-01 16:11","CJ","Commission Junction","cj22","N","ROSTER",0
"153",11638267,"2012-05-01 16:44",330,"N",3,"2012-05-01 15:50","CJ","Commission Junction","cj22","N","ROSTER",0
"154",11638267,"2012-05-01 16:44",330,"N",2,"2012-05-01 15:48","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",0
"155",11638267,"2012-05-01 16:44",330,"N",1,"2012-05-01 15:48","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",0
"156",11638267,"2012-05-01 16:44",330,"N",0,"2012-05-01 15:48","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ORIGINATOR",0
"157",11638402,"2012-05-01 17:21",170.62,"N",3,"2012-04-18 17:38","CPM","Armonix","nar7467","N","CONVERTER",13
"158",11638402,"2012-05-01 17:21",170.62,"N",2,"2012-03-23 18:33","CPM","Armonix","nar7467","N","ASSIST",38
"159",11638402,"2012-05-01 17:21",170.62,"N",1,"2012-03-23 18:31","CPM","Armonix","nar7467","N","ROSTER",38
"160",11638402,"2012-05-01 17:21",170.62,"N",0,"2012-03-23 13:51","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",38
"170",11638413,"2012-05-01 17:24",93.79,"N",1,"2012-05-01 17:15","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"171",11638413,"2012-05-01 17:24",93.79,"N",0,"2012-05-01 17:12","SEARCH GOOGLE BRAND","G: Medifast Products > Medifast Shakes > medifast shakes","g001345","Y","ORIGINATOR",0
"187",11638461,"2012-05-01 17:42",263.45,"Y",6,"2012-05-01 4:46","CPM","Acerno","acerno","N","CONVERTER",0
"188",11638461,"2012-05-01 17:42",263.45,"Y",5,"2012-05-01 4:45","CPM","Acerno","acerno","N","ASSIST",0
"189",11638461,"2012-05-01 17:42",263.45,"Y",4,"2012-05-01 4:36","CPM","Mediawhiz","n62974792","N","ROSTER",0
"190",11638461,"2012-05-01 17:42",263.45,"Y",3,"2012-04-30 20:42","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ROSTER",1
"191",11638461,"2012-05-01 17:42",263.45,"Y",2,"2012-04-30 20:42","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ROSTER",1
"192",11638461,"2012-05-01 17:42",263.45,"Y",1,"2012-04-30 20:42","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ROSTER",1
"193",11638461,"2012-05-01 17:42",263.45,"Y",0,"2012-04-28 17:13","SEARCH GOOGLE NON-BRAND","G: Competitors > Optifast > ","g000115","N","ORIGINATOR",3
"194",11638475,"2012-05-01 17:42",176.13,"Y",1,"2012-05-01 17:18","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"195",11638475,"2012-05-01 17:42",176.13,"Y",0,"2012-05-01 17:13","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",0
"196",11638483,"2012-05-01 17:45",396.4,"Y",3,"2012-05-01 11:35","CPM","Armonix","nar7467","N","CONVERTER",0
"197",11638483,"2012-05-01 17:45",396.4,"Y",2,"2012-05-01 3:39","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ASSIST",0
"198",11638483,"2012-05-01 17:45",396.4,"Y",1,"2012-05-01 3:38","CPM","Armonix","nar7467","N","ROSTER",0
"199",11638483,"2012-05-01 17:45",396.4,"Y",0,"2012-05-01 3:02","OTHER","MedifastHealth.com - Portal","medifasthealth","Y","ORIGINATOR",0
"200",11638486,"2012-05-01 17:42",91.66,"N",1,"2012-04-30 20:32","CPM","Adroll - adr","adr","N","CONVERTER",1
"201",11638486,"2012-05-01 17:42",91.66,"N",0,"2012-04-30 20:19","CPM","Acerno","acerno","N","ORIGINATOR",1
"202",11638496,"2012-05-01 17:50",400.99,"N",8,"2012-04-24 16:17","CPM","Accordant","n6899541","N","CONVERTER",7
"203",11638496,"2012-05-01 17:50",400.99,"N",7,"2012-04-24 16:17","CPM","Accordant","n6899541","N","ASSIST",7
"204",11638496,"2012-05-01 17:50",400.99,"N",6,"2012-04-23 20:19","CPM","Adroll - adr","adr","N","ROSTER",8
"205",11638496,"2012-05-01 17:50",400.99,"N",5,"2012-03-29 21:34","CPM","Adroll - adr","adr","N","ROSTER",32
"206",11638496,"2012-05-01 17:50",400.99,"N",4,"2012-03-23 13:08","CPM","Armonix","nar7467","N","ROSTER",38
"207",11638496,"2012-05-01 17:50",400.99,"N",3,"2012-03-23 13:08","CPM","Mediawhiz","n62974792","N","ROSTER",38
"208",11638496,"2012-05-01 17:50",400.99,"N",2,"2012-03-18 23:27","CPM","Armonix","nar7467","N","ROSTER",43
"209",11638496,"2012-05-01 17:50",400.99,"N",1,"2012-03-18 23:27","CPM","Armonix","nar7467","N","ROSTER",43
"210",11638496,"2012-05-01 17:50",400.99,"N",0,"2012-01-09 14:18","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ORIGINATOR",112
"211",11638508,"2012-05-01 17:58",355.11,"Y",4,"2012-05-01 17:30","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"212",11638508,"2012-05-01 17:58",355.11,"Y",3,"2012-05-01 17:29","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ASSIST",0
"213",11638508,"2012-05-01 17:58",355.11,"Y",2,"2012-04-19 17:21","CPM","Armonix","nar7467","N","ROSTER",12
"214",11638508,"2012-05-01 17:58",355.11,"Y",1,"2012-04-19 17:12","CPM","Armonix","nar7467","N","ROSTER",12
"215",11638508,"2012-05-01 17:58",355.11,"Y",0,"2012-03-23 19:23","SEARCH MSN BRAND","Medifast Brand Terms >  Medifast >  about medifast","brand3357msn","Y","ORIGINATOR",38
"216",11638572,"2012-05-01 18:10",125.57,"Y",3,"2011-12-29 20:49","CPM","Acerno","acerno","N","CONVERTER",122
"217",11638572,"2012-05-01 18:10",125.57,"Y",2,"2011-12-29 20:49","CPM","Acerno","acerno","N","ASSIST",122
"218",11638572,"2012-05-01 18:10",125.57,"Y",1,"2011-12-12 14:27","CPM","Acerno","acerno","N","ROSTER",139
"219",11638572,"2012-05-01 18:10",125.57,"Y",0,"2011-11-29 19:44","SEARCH MSN BRAND","Medifast Brand Terms >  Medifast URL Options >  medifast.com","brand8155msn","Y","ORIGINATOR",152
"220",11638593,"2012-05-01 18:14",291.94,"N",7,"2012-04-27 15:13","CPM","24/7 Real Media [old]","247","N","CONVERTER",4
"221",11638593,"2012-05-01 18:14",291.94,"N",6,"2012-04-16 14:41","CPM","Mediawhiz","n62974792","N","ASSIST",15
"222",11638593,"2012-05-01 18:14",291.94,"N",5,"2012-04-06 16:47","CPM","Adroll - adr","adr","N","ROSTER",25
"223",11638593,"2012-05-01 18:14",291.94,"N",4,"2012-04-06 15:45","CPM","Acerno","acerno","N","ROSTER",25
"224",11638593,"2012-05-01 18:14",291.94,"N",3,"2012-03-21 14:59","CPM","24/7 Real Media [old]","247","N","ROSTER",40
"225",11638593,"2012-05-01 18:14",291.94,"N",2,"2012-03-19 17:02","CPM","AOL - February 2011","N9457P1A","N","ROSTER",42
"226",11638593,"2012-05-01 18:14",291.94,"N",1,"2012-02-14 15:33","OTHER","MedifastHealth.com - Portal","medifasthealth","Y","ROSTER",77
"227",11638593,"2012-05-01 18:14",291.94,"N",0,"2012-01-09 14:02","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",112
"228",11638611,"2012-05-01 18:24",310.11,"Y",1,"2012-05-01 18:00","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",0
"229",11638611,"2012-05-01 18:24",310.11,"Y",0,"2012-05-01 17:56","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast Coupons > medifast coupons","g001158","Y","ORIGINATOR",0
"230",11638642,"2012-05-01 18:30",172.52,"Y",3,"2012-05-01 18:19","CPM","AOL - February 2011","N9457P1A","N","CONVERTER",0
"231",11638642,"2012-05-01 18:30",172.52,"Y",2,"2012-04-30 18:21","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ASSIST",1
"232",11638642,"2012-05-01 18:30",172.52,"Y",1,"2012-04-30 13:41","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","ROSTER",1
"233",11638642,"2012-05-01 18:30",172.52,"Y",0,"2012-04-30 13:27","SEARCH GOOGLE NON-BRAND","Google:  Diet Plans > Diet Plans > diet food plans","3206","N","ORIGINATOR",1
"239",11638685,"2012-05-01 18:44",161.37,"Y",1,"2012-04-30 18:52","BUZZ AFFILIATE","Buzz CPA Affiliate","buzz23","N","CONVERTER",1
"240",11638685,"2012-05-01 18:44",161.37,"Y",0,"2012-04-30 18:52","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast Coupons > medifast coupons","g001158","Y","ORIGINATOR",1
"244",11638818,"2012-05-01 19:19",326.61,"Y",8,"2012-05-01 19:14","SEARCH GOOGLE NON-BRAND","Google:  Competitors > Optifast > Optifast","3052","N","CONVERTER",0
"245",11638818,"2012-05-01 19:19",326.61,"Y",7,"2012-05-01 19:06","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ASSIST",0
"246",11638818,"2012-05-01 19:19",326.61,"Y",6,"2012-05-01 18:53","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000793","Y","ROSTER",0
"247",11638818,"2012-05-01 19:19",326.61,"Y",5,"2012-04-24 17:13","CPM","Adroll - adr","adr","N","ROSTER",7
"248",11638818,"2012-05-01 19:19",326.61,"Y",4,"2012-04-24 17:12","CPM","Adroll - adr","adr","N","ROSTER",7
"249",11638818,"2012-05-01 19:19",326.61,"Y",3,"2012-04-24 17:12","CPM","Adroll - adr","adr","N","ROSTER",7
"250",11638818,"2012-05-01 19:19",326.61,"Y",2,"2012-04-19 12:20","CPM","Mediawhiz","n62974792","N","ROSTER",12
"251",11638818,"2012-05-01 19:19",326.61,"Y",1,"2012-04-17 15:42","CPM","Adroll - adr","adr","N","ROSTER",14
"252",11638818,"2012-05-01 19:19",326.61,"Y",0,"2012-04-13 18:53","SEARCH GOOGLE BRAND","G: Medifast Brand Terms > Medifast > ","g000791","Y","ORIGINATOR",18
"253",11638828,"2012-05-01 19:24",274.71,"Y",2,"2012-05-01 19:12","CJ","Commission Junction","cj22","N","CONVERTER",0
"254",11638828,"2012-05-01 19:24",274.71,"Y",1,"2012-05-01 19:08","CJ","Commission Junction","cj22","N","ASSIST",0
"255",11638828,"2012-05-01 19:24",274.71,"Y",0,"2012-05-01 19:01","BUZZ AFFILIATE","ValueClick CPA","vc225","N","ORIGINATOR",0
"256",11638830,"2012-05-01 19:20",310.36,"N",2,"2012-04-03 20:41","CPM","Mediawhiz","n62974792","N","CONVERTER",28
"257",11638830,"2012-05-01 19:20",310.36,"N",1,"2012-03-30 17:18","CPM","Mediawhiz","n62974792","N","ASSIST",31
"258",11638830,"2012-05-01 19:20",310.36,"N",0,"2012-01-12 19:30","SEARCH MSN BRAND","Medifast Brand Terms >  Medifast >  medifast1","brand8146msn","Y","ORIGINATOR",109
"263",11638911,"2012-05-01 19:50",262.22,"N",3,"2012-05-01 19:41","BUZZ AFFILIATE","carefirst","carefirst","N","CONVERTER",0
"264",11638911,"2012-05-01 19:50",262.22,"N",2,"2012-05-01 19:37","BUZZ AFFILIATE","carefirst","carefirst","N","ASSIST",0
"265",11638911,"2012-05-01 19:50",262.22,"N",1,"2012-04-30 23:09","BUZZ AFFILIATE","carefirst","carefirst","N","ROSTER",1
"266",11638911,"2012-05-01 19:50",262.22,"N",0,"2012-04-29 1:26","CPM","Acerno","acerno","N","ORIGINATOR",2
