"","group","A","B","C","D","E","hired","quality"
"1590","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.315445136510221
"1692","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.00184635643271384
"164","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165858781657888
"753","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.00250804271198422
"348","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.264962135530811
"1346","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.16627933754915
"1189","female",1,1,0,0.260869565217391,0,1,0.610705243761823
"436","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1,0.264345581879467
"1600","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313279264152909
"667","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.00140323530156876
"1287","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.167185804888485
"1222","female",1,1,0,0.260869565217391,0,0,0.609728850469213
"112","male",1,1,0,0.260869565217391,0,0,0.610486802968796
"1965","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.998636618137057
"1226","female",1,1,0,0.260869565217391,0,0,0.610214610538837
"3","male",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.180678846942694
"1251","female",1,1,0,0.260869565217391,0,0,0.611630027534229
"1593","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.311592906203221
"1468","female",0,0,0.813711204046299,0.0869565217391304,1,0,0.456413745639284
"967","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.125366903090642
"1675","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.00175281932119155
"1912","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00116661903716
"1156","female",1,1,0,0.260869565217391,0,0,0.610489149512325
"1033","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.181107841588799
"1412","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.454603304136297
"1955","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00073886808882
"1182","female",1,1,0,0.260869565217391,0,0,0.611488585347301
"1097","female",1,1,0,0.260869565217391,0,0,0.610428103099202
"210","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.458049126734492
"1355","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165532484015205
"21","male",1,1,0,0.260869565217391,0,0,0.609066592971382
"956","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.123174706513004
"1993","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.999918948877939
"1773","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.95697770058241
"35","male",1,1,0,0.260869565217391,0,0,0.610811900211344
"122","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165057200969381
"660","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.000135288985983425
"1953","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00056813852958
"257","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.454722944360982
"121","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.16674794442701
"853","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.960768733993612
"1421","female",0,0,0.813711204046299,0.0869565217391304,1,0,0.454877708937468
"669","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00148513576225416
"1136","female",1,1,0,0.260869565217391,0,1,0.609756267973279
"1888","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,1.00006509218428
"280","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.457299818892345
"607","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00111586639756453
"526","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314188659595121
"1093","female",1,1,0,0.260869565217391,0,0,0.609356443572703
"260","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455122650227966
"1477","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.455295768391865
"591","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31323249174403
"1560","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313952358198307
"726","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.000171935509712201
"1057","female",1,1,0,0.260869565217391,0,1,0.608324330458032
"1686","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00105957630931806
"82","male",1,1,0,0.260869565217391,0,0,0.609808966735576
"1666","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312810758255277
"299","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.456293571475544
"1916","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.999087963642175
"1042","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182509054249773
"42","male",1,1,0,0.260869565217391,0,0,0.611963014001212
"1873","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.999806204847734
"1244","female",1,1,0,0.260869565217391,0,0,0.611823804103294
"1003","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.181549320680836
"1780","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.957896183671698
"1381","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165000534077781
"887","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.957816882280222
"1087","female",1,1,0,0.260869565217391,0,0,0.6100506301053
"643","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00127938022348207
"204","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455478013177428
"562","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314138200887603
"1188","female",1,1,0,0.260869565217391,0,0,0.610141933118981
"1005","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.181201196029526
"1293","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.167226261884155
"539","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312643580897225
"948","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.12427316674449
"1382","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.166059962157971
"1193","female",1,1,0,0.260869565217391,0,0,0.608300614937897
"1417","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.455778666288943
"574","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312901690768616
"1124","female",1,1,0,0.260869565217391,0,1,0.611873432358689
"358","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.265348456898204
"1488","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.456435305239441
"1684","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000692313259477676
"349","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.264819635406436
"547","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314822011486199
"733","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000998886398092861
"972","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.122692737467131
"303","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.454273076704455
"1856","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.999441782139781
"1311","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.165835628285472
"1538","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1,0.315250303662018
"1642","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314699974318499
"193","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.456236888606945
"498","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312019764306876
"1388","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.166369815695071
"518","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313090189152661
"1688","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.000990985364831585
"1599","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31480498449033
"249","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.456127206917902
"72","male",1,1,0,0.260869565217391,0,0,0.608493872966571
"33","male",1,1,0,0.260869565217391,0,1,0.61027844436395
"1125","female",1,1,0,0.260869565217391,0,0,0.612008692298759
"282","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.457259925726903
"1759","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.959516144536072
"1031","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.181724317913605
"1728","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.0011041079860081
"1322","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.166009765056671
"598","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1,0.313677052823206
"502","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314388056892863
"432","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.265772301178685
"300","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.456812186840427
"1386","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165138199464858
"1938","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.999670622142514
"1774","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958693818910311
"296","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.455214385805424
"437","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.265676005967716
"1366","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165196077073004
"173","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.16471390195305
"1878","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.99938748902927
"663","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.0009969853815203
"1751","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958527374266422
"1702","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000462905494924181
"1467","female",0,0,0.813711204046299,0.0869565217391304,1,0,0.45532935799551
"718","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00128264132698832
"1592","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31466113953067
"39","male",1,1,0,0.260869565217391,0,0,0.612168547832653
"1776","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.957994638768893
"619","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00051463900659124
"1020","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.180686934864854
"1016","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182272227521081
"1194","female",1,1,0,0.260869565217391,0,0,0.610030462680113
"1088","female",1,1,0,0.260869565217391,0,0,0.611197749415501
"661","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.000327905208085568
"924","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.121926794361205
"1645","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313233709698729
"1517","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31200337326091
"1037","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182498772177973
"937","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.12398111853144
"221","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.456630244276612
"1237","female",1,1,0,0.260869565217391,0,0,0.61144074473077
"1793","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.125377598167746
"722","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.00117326413109344
"1118","female",1,1,0,0.260869565217391,0,0,0.610244786749807
"1235","female",1,1,0,0.260869565217391,0,1,0.611311280594375
"563","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313194692393358
"1022","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.180073386331996
"835","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958850970117838
"1339","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165205972335895
"418","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1,0.266070501457681
"281","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455643313221948
"740","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.000185825110647751
"366","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.265512420263881
"572","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313567401388169
"1274","female",1,1,0,0.260869565217391,0,0,0.609526872301118
"1625","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1,0.315937614757113
"218","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.455140948893479
"990","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.99927289889697
"832","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.959244925195966
"1163","female",1,1,0,0.260869565217391,0,0,0.611429622736761
"69","male",1,1,0,0.260869565217391,0,0,0.609728885903881
"860","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.95886939622465
"940","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.124371738672109
"1100","female",1,1,0,0.260869565217391,0,0,0.607923599381717
"1216","female",1,1,0,0.260869565217391,0,0,0.609298201846275
"225","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.457101052555053
"1698","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000288199483341785
"843","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958170182935255
"1039","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182083989946735
"782","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.959041271230061
"1967","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00003743925935
"908","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.123174090069787
"589","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314444675153235
"1649","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31366358764054
"874","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.959612006767339
"1850","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.123533363369666
"1205","female",1,1,0,0.260869565217391,0,1,0.61071468373187
"326","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.266258455361906
"266","male",0,0,0.813711204046299,0.0869565217391304,1,1,0.454351033711885
"761","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.00190957017954755
"1532","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312186851922527
"401","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.266899003480424
"1470","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.455542149247683
"182","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455684941313988
"438","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1,0.265382906564312
"866","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.9589069338509
"10","male",1,1,0,0.260869565217391,0,0,0.608874489069111
"1713","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.00021097272339872
"1040","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.180854880640124
"764","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000375212171943235
"62","male",1,1,0,0.260869565217391,0,0,0.610833122174858
"955","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.124356161442576
"905","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.1266185964288
"1735","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.000255932855822134
"1696","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.0016459133006014
"365","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1,0.262827436274494
"1900","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,1.00055250764319
"1927","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,1.00003531559963
"1507","female",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.265683880441812
"464","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314259536886871
"1369","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.166797155910585
"1842","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.123433506462182
"975","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.125324999399079
"1296","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.167034905242955
"92","male",1,1,0,0.260869565217391,0,0,0.610508127643026
"612","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.000157280112876672
"1608","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314092897498786
"1335","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165415444034101
"945","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.125481155819025
"416","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.266151911834337
"1668","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.315505499734384
"825","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.960372974556579
"1814","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.126528900133042
"1587","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1,0.314768107827151
"1013","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.181190851208059
"1699","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.000316871847609825
"520","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313955602671404
"1570","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314096455771741
"774","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.960551708840282
"801","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958122518967798
"344","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1,0.265448691490819
"1997","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.998831791726109
"1113","female",1,1,0,0.260869565217391,0,1,0.609074167601607
"205","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.453850006170081
"909","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.124671565653441
"577","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313126364114816
"165","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.167395498153223
"767","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,0.000363470644588551
"1556","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313928326920711
"597","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313960799546849
"790","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.962103640131973
"1853","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.999576801674668
"1049","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182490177536062
"936","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.125123765541086
"715","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.000589515141195746
"12","male",1,1,0,0.260869565217391,0,1,0.611309676969155
"196","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455937246288638
"245","male",0,0,0.813711204046299,0.0869565217391304,1,0,0.455402463157228
"1994","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.999759383601137
"356","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.267021941866459
"871","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958131773388245
"1365","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.166931352723005
"1545","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.314116619438343
"1395","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165765092486379
"830","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958961686223678
"156","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0,0.165969182646627
"471","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312829263821609
"1058","female",1,1,0,0.260869565217391,0,0,0.610250492109809
"43","male",1,1,0,0.260869565217391,0,0,0.609335280506971
"1261","female",1,1,0,0.260869565217391,0,1,0.61093856669234
"339","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.264923035807472
"977","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.122995659695451
"841","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958647078202936
"1101","female",1,1,0,0.260869565217391,0,0,0.609187776206454
"1662","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31342448187439
"819","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958701552784712
"172","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.165592510731211
"1792","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0,0.126519102024974
"780","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1,0.958461461855023
"1368","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.166124237367246
"702","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,0.000684189743020464
"1533","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.312491992918265
"1492","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.454839420560874
"993","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.998785035403331
"1456","female",0,0,0.813711204046299,0.0869565217391304,1,0,0.457320610050243
"459","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.313284490200268
"1112","female",1,1,0,0.260869565217391,0,0,0.608359170603556
"1411","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.456811738554516
"1971","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.998236629116607
"1866","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,1.00137906943061
"1970","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0,0.999355906416809
"1665","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1,0.313640352317926
"719","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,8.61559801586501e-05
"101","male",1,1,0,0.260869565217391,0,0,0.608251275003444
"1907","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.999001471179187
"1854","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1,0.998192943501293
"645","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.00162122693851757
"332","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.266039205017152
"412","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0,0.267436802634737
"1313","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1,0.165039689040817
"769","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1,-0.00171027015565313
"758","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.000670268173435651
"704","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0,-0.00234114181719051
"4","male",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0,0.182528714530609
"1651","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0,0.31208989291765
"1486","female",0,0,0.813711204046299,0.0869565217391304,1,1,0.455088370793688
"978","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1,0.124532571920649
"1241","female",1,1,0,0.260869565217391,0,0,0.609472261953435
"6","male",1,1,0,0.260869565217391,0,0,0.610258966933773
