"","group","A","B","C","D","E","hired"
"121","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"853","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1421","female",0,0,0.813711204046299,0.0869565217391304,1,0
"669","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1136","female",1,1,0,0.260869565217391,0,1
"1888","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"280","male",0,0,0.813711204046299,0.0869565217391304,1,0
"607","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"526","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1093","female",1,1,0,0.260869565217391,0,0
"260","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1477","female",0,0,0.813711204046299,0.0869565217391304,1,1
"591","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1560","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"726","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1057","female",1,1,0,0.260869565217391,0,1
"1686","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"82","male",1,1,0,0.260869565217391,0,0
"1666","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"299","male",0,0,0.813711204046299,0.0869565217391304,1,1
"1916","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1042","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"42","male",1,1,0,0.260869565217391,0,0
"1873","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1244","female",1,1,0,0.260869565217391,0,0
"1003","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1780","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1381","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"887","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1087","female",1,1,0,0.260869565217391,0,0
"643","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"204","male",0,0,0.813711204046299,0.0869565217391304,1,0
"562","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1188","female",1,1,0,0.260869565217391,0,0
"1005","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1293","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"539","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"948","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1382","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1193","female",1,1,0,0.260869565217391,0,0
"1417","female",0,0,0.813711204046299,0.0869565217391304,1,1
"574","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1124","female",1,1,0,0.260869565217391,0,1
"358","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1488","female",0,0,0.813711204046299,0.0869565217391304,1,1
"1684","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"349","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"547","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"733","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"972","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"303","male",0,0,0.813711204046299,0.0869565217391304,1,1
"1856","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1311","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1538","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"1642","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"193","male",0,0,0.813711204046299,0.0869565217391304,1,1
"498","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1388","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"518","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1688","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1599","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"249","male",0,0,0.813711204046299,0.0869565217391304,1,1
"72","male",1,1,0,0.260869565217391,0,0
"33","male",1,1,0,0.260869565217391,0,1
"1125","female",1,1,0,0.260869565217391,0,0
"282","male",0,0,0.813711204046299,0.0869565217391304,1,1
"1759","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1031","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1728","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1322","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"598","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"502","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"432","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"300","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1386","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1938","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1774","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"296","male",0,0,0.813711204046299,0.0869565217391304,1,1
"437","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1366","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"173","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1878","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"663","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1751","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1702","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1467","female",0,0,0.813711204046299,0.0869565217391304,1,0
"718","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1592","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"39","male",1,1,0,0.260869565217391,0,0
"1776","female",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"619","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1020","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1016","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1194","female",1,1,0,0.260869565217391,0,0
"1088","female",1,1,0,0.260869565217391,0,0
"661","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"924","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1645","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1517","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1037","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"937","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"221","male",0,0,0.813711204046299,0.0869565217391304,1,1
"1237","female",1,1,0,0.260869565217391,0,0
"1793","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"722","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1118","female",1,1,0,0.260869565217391,0,0
"1235","female",1,1,0,0.260869565217391,0,1
"563","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1022","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"835","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1339","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"418","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"281","male",0,0,0.813711204046299,0.0869565217391304,1,0
"740","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"366","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"572","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1274","female",1,1,0,0.260869565217391,0,0
"1625","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"218","male",0,0,0.813711204046299,0.0869565217391304,1,1
"990","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"832","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1163","female",1,1,0,0.260869565217391,0,0
"69","male",1,1,0,0.260869565217391,0,0
"860","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"940","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1100","female",1,1,0,0.260869565217391,0,0
"1216","female",1,1,0,0.260869565217391,0,0
"225","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1698","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"843","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1039","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"782","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1967","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"908","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"589","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1649","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"874","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1850","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1205","female",1,1,0,0.260869565217391,0,1
"326","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"266","male",0,0,0.813711204046299,0.0869565217391304,1,1
"761","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1532","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"401","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1470","female",0,0,0.813711204046299,0.0869565217391304,1,1
"182","male",0,0,0.813711204046299,0.0869565217391304,1,0
"438","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"866","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"10","male",1,1,0,0.260869565217391,0,0
"1713","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1040","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"764","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"62","male",1,1,0,0.260869565217391,0,0
"955","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"905","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1735","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1696","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"365","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"1900","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1927","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1507","female",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"464","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1369","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1842","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"975","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1296","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"92","male",1,1,0,0.260869565217391,0,0
"612","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1608","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1335","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"945","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"416","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1668","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"825","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1814","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"1587","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"1013","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1699","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"520","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1570","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"774","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"801","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"344","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"1997","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1113","female",1,1,0,0.260869565217391,0,1
"205","male",0,0,0.813711204046299,0.0869565217391304,1,0
"909","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"577","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"165","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"767","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1556","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"597","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"790","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1853","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1049","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"936","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"715","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"12","male",1,1,0,0.260869565217391,0,1
"196","male",0,0,0.813711204046299,0.0869565217391304,1,0
"245","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1994","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"356","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"871","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1365","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1545","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1395","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"830","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"156","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"471","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1058","female",1,1,0,0.260869565217391,0,0
"43","male",1,1,0,0.260869565217391,0,0
"1261","female",1,1,0,0.260869565217391,0,1
"339","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"977","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"841","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1101","female",1,1,0,0.260869565217391,0,0
"1662","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"819","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"172","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1792","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"780","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1368","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"702","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1533","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1492","female",0,0,0.813711204046299,0.0869565217391304,1,1
"993","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1456","female",0,0,0.813711204046299,0.0869565217391304,1,0
"459","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1112","female",1,1,0,0.260869565217391,0,0
"1411","female",0,0,0.813711204046299,0.0869565217391304,1,1
"1971","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1866","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1970","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1665","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"719","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"101","male",1,1,0,0.260869565217391,0,0
"1907","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1854","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"645","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"332","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"412","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1313","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"769","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"758","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"704","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"4","male",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1651","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1486","female",0,0,0.813711204046299,0.0869565217391304,1,1
"978","male",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,1
"1241","female",1,1,0,0.260869565217391,0,0
"6","male",1,1,0,0.260869565217391,0,0
"211","male",0,0,0.813711204046299,0.0869565217391304,1,0
"1673","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"144","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"18","male",1,1,0,0.260869565217391,0,0
"1041","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"1671","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,1
"1628","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1790","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"73","male",1,1,0,0.260869565217391,0,0
"1925","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1403","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"569","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"687","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1197","female",1,1,0,0.260869565217391,0,0
"17","male",1,1,0,0.260869565217391,0,0
"265","male",0,0,0.813711204046299,0.0869565217391304,1,1
"91","male",1,1,0,0.260869565217391,0,1
"89","male",1,1,0,0.260869565217391,0,0
"1620","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"582","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"53","male",1,1,0,0.260869565217391,0,0
"1458","female",0,0,0.813711204046299,0.0869565217391304,1,0
"1085","female",1,1,0,0.260869565217391,0,0
"765","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"1506","female",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1849","female",0.355260527823672,0,0.770183332096632,0.565217391304348,0.0746230817983354,0
"472","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"491","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1297","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1078","female",1,1,0,0.260869565217391,0,1
"415","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1204","female",1,1,0,0.260869565217391,0,0
"1930","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,1
"1523","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"114","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"1964","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"1513","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1323","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"632","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"1157","female",1,1,0,0.260869565217391,0,0
"337","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"525","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1342","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1931","female",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"192","male",0,0,0.813711204046299,0.0869565217391304,1,0
"510","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"736","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"411","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1358","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"995","male",0.872898460263115,1,0.893855175614176,0.739130434782609,0.669803379973014,0
"886","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"113","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
"548","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1280","female",1,1,0,0.260869565217391,0,0
"1328","female",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,1
"1416","female",0,0,0.813711204046299,0.0869565217391304,1,0
"458","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"1674","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,1
"323","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1601","female",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"794","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"1712","female",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"54","male",1,1,0,0.260869565217391,0,0
"675","male",0.187806540325845,0,0.438059843593167,1,0.170236210380525,0
"439","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,1
"545","male",0.195269626104611,0.5,0.934376274337988,0.0869565217391304,0.477683007601308,0
"435","male",0.499918087756381,0,0.205530908133559,0,0.406459000623328,0
"1283","female",1,1,0,0.260869565217391,0,0
"1080","female",1,1,0,0.260869565217391,0,0
"1256","female",1,1,0,0.260869565217391,0,0
"1051","female",0.104899745530503,0.5,0.484752769718815,0.130434782608696,0.775993797213147,0
"883","male",0.773050380907848,0,0.923287797334825,0.304347826086957,0.702969250944744,1
"118","male",0.0563687000085471,0,1,0.347826086956522,0.406201486362006,0
